测试集真实值,测试集预测值
198.0,162.90579223632812
199.0,157.5755157470703
87.0,157.66502380371094
74.0,118.53948211669922
180.0,106.75049591064453
210.0,143.14794921875
96.0,157.0309600830078
63.0,117.85566711425781
53.0,98.29022216796875
70.0,88.07673645019531
52.0,90.24909210205078
45.0,81.38531494140625
94.0,74.51144409179688
93.0,90.1310043334961
72.0,90.98419952392578
42.0,82.02960968017578
64.0,67.5504379272461
81.0,71.84844970703125
54.0,78.65190887451172
98.0,69.0742416381836
147.0,84.04850769042969
89.0,106.20306396484375
209.0,88.862060546875
234.0,133.33682250976562
210.0,149.35064697265625
100.0,146.02317810058594
108.0,109.32454681396484
85.0,107.31001281738281
55.0,98.45706176757812
58.0,85.5083236694336
59.0,83.28126525878906
68.0,81.95610046386719
51.0,83.70368194580078
58.0,75.80525207519531
97.0,75.14630126953125
84.0,88.76343536376953
112.0,85.19774627685547
161.0,94.89285278320312
193.0,115.447509765625
81.0,131.4386749267578
92.0,94.3681640625
103.0,92.832275390625
46.0,96.93734741210938
37.0,76.39837646484375
20.0,68.25048065185547
68.0,58.738426208496094
92.0,74.329833984375
100.0,85.94053649902344
134.0,90.63667297363281
52.0,104.51275634765625
42.0,75.9538345336914
60.0,65.87691497802734
66.0,69.99017333984375
94.0,72.73767852783203
70.0,84.0356216430664
98.0,76.89408111572266
85.0,86.5079574584961
56.0,83.52043151855469
92.0,72.0590591430664
44.0,83.73944091796875
