训练集真实值,训练集预测值
32.0,28.702526092529297
33.0,31.67193031311035
35.0,32.15500259399414
34.0,33.02278518676758
30.999999999999996,32.75116729736328
27.0,31.587398529052734
29.0,29.739973068237305
30.999999999999996,30.75566291809082
22.0,31.67922019958496
19.0,26.5872859954834
19.0,24.324861526489258
18.0,23.891162872314453
20.000000000000004,22.722023010253906
18.0,23.448915481567383
22.0,21.738418579101562
24.0,23.873611450195312
24.0,25.168880462646484
26.0,25.082765579223633
25.000000000000004,26.272441864013672
21.0,25.792097091674805
21.0,23.196983337402344
20.000000000000004,23.08489418029785
19.0,22.4341983795166
24.0,21.58757781982422
24.0,24.739883422851562
22.999999999999996,24.988435745239258
21.0,24.25522804260254
20.000000000000004,22.88348960876465
21.0,22.125247955322266
20.000000000000004,22.749195098876953
17.000000000000004,22.08723258972168
18.0,19.793119430541992
17.000000000000004,20.16423988342285
14.000000000000002,19.415714263916016
11.0,16.954341888427734
16.0,14.20795726776123
22.999999999999996,17.331926345825195
28.000000000000004,22.628015518188477
25.000000000000004,26.327917098999023
1.0,24.632993698120117
9.0,6.209930419921875
10.0,10.533717155456543
9.0,12.287422180175781
11.0,11.719158172607422
20.000000000000004,12.758374214172363
19.0,19.233816146850586
16.0,19.37950897216797
13.0,16.933046340942383
13.0,14.403767585754395
18.0,14.176430702209473
18.0,17.932146072387695
13.0,18.561119079589844
18.0,14.836746215820312
17.000000000000004,18.034908294677734
20.000000000000004,17.91268539428711
16.0,20.040218353271484
11.0,17.450191497802734
15.000000000000004,13.370258331298828
17.000000000000004,15.843660354614258
18.0,17.803743362426758
18.0,18.742984771728516
18.0,18.787532806396484
19.0,18.784351348876953
21.0,19.562292098999023
18.0,21.156545639038086
16.0,19.269304275512695
15.000000000000004,17.645505905151367
21.0,16.803377151489258
21.0,21.041086196899414
12.000000000000002,21.63258171081543
9.0,14.929959297180176
7.000000000000001,11.852424621582031
7.000000000000001,9.900044441223145
7.000000000000001,9.45459270477295
6.0,9.219435691833496
6.0,8.232494354248047
6.0,7.8057541847229
8.0,7.5330491065979
7.000000000000001,8.774308204650879
12.000000000000002,8.180970191955566
10.0,11.588342666625977
7.000000000000001,10.734855651855469
9.0,8.219745635986328
1.0,9.198418617248535
3.0,3.6434326171875
6.0,3.878770351409912
7.000000000000001,6.12891149520874
9.0,7.426159858703613
9.0,9.076484680175781
5.000000000000001,9.319835662841797
6.0,6.337510108947754
10.0,6.4242048263549805
9.0,9.425496101379395
12.000000000000002,9.396774291992188
9.0,11.55449390411377
9.0,9.741660118103027
5.000000000000001,9.393367767333984
6.0,6.455687999725342
6.0,6.63839054107666
3.0,6.761481761932373
